exp_idx,reference_shift_nm,baseline_shift_nm,proposed_shift_nm,baseline_abs_error_nm,proposed_abs_error_nm
1,0.029869840848684104,0.026172250509262085,0.02829492837190628,0.003697590339422019,0.0015749124767778233
4,-0.0006967843634387555,0.007383421063423157,0.004293717443943024,0.008080205426861912,0.004990501807381779
7,0.01678011527985759,0.013642802834510803,0.010806828737258911,0.003137312445346787,0.005973286542598679
10,-0.00625146269276047,-0.0010376572608947754,-0.004331819713115692,0.005213805431865694,0.0019196429796447777
13,-0.02899257395500138,-0.023936651647090912,-0.0265343114733696,0.005055922307910469,0.0024582624816317823
16,-0.015417121571048261,-0.013475541025400162,-0.015228986740112305,0.0019415805456480997,0.00018813483093595672
19,-0.016920719041744633,-0.008836545050144196,-0.011183112859725952,0.008084173991600437,0.005737606182018681
22,-0.011198359448248504,-0.0042167603969573975,-0.006715204566717148,0.006981599051291107,0.004483154881531356
25,0.0013119132979409044,0.005184382200241089,0.0020808428525924683,0.0038724689023001847,0.0007689295546515638
28,0.0171590715359291,0.016788654029369354,0.015223875641822815,0.0003704175065597469,0.0019351958941062862
31,0.012986393759220604,0.0128837451338768,0.009650558233261108,0.0001026486253438031,0.0033358355259594952
34,-0.010527059104344818,-0.006826899945735931,-0.009673219174146652,0.003700159158608886,0.0008538399301981654
37,-0.022984241875998082,-0.01753683015704155,-0.0192483589053154,0.005447411718956532,0.003735882970682683
40,-0.01826960076068266,-0.01552390307188034,-0.01759973168373108,0.002745697688802319,0.0006698690769515805
43,-0.02631820982440314,-0.019284524023532867,-0.021782342344522476,0.007033685800870274,0.0045358674798806654
46,0.026154262940612405,0.02074810117483139,0.01791444420814514,0.005406161765781015,0.008239818732467263
49,0.019041621576778744,0.015840761363506317,0.013430804014205933,0.0032008602132724273,0.005610817562572812
52,-0.007798201177046018,-0.004876561462879181,-0.008096128702163696,0.002921639714166837,0.0002979275251176784
55,0.02882492258589025,0.022890083491802216,0.022339001297950745,0.005934839094088033,0.006485921287939504
58,0.010477485662125793,0.00871916115283966,0.005112782120704651,0.0017583245092861327,0.0053647035414211425
61,-0.006735989486604395,-0.0006024837493896484,-0.0037228092551231384,0.006133505737214747,0.0030131802314812568
64,-0.002873494345861509,0.0028236359357833862,-0.0001460649073123932,0.005697130281644895,0.002727429438549116
67,-0.01411503815196086,-0.015645958483219147,-0.01719515770673752,0.0015309203312582863,0.003080119554776658
70,-0.0004892347887654296,0.0015332698822021484,-0.0008409544825553894,0.002022504670967578,0.00035171969378995985
73,-0.006749572706124088,-0.008521944284439087,-0.010419122874736786,0.0017723715783149992,0.003669550168612698
76,-0.016915699144691716,-0.010285470634698868,-0.012674789875745773,0.0066302285099928485,0.004240909268945943
79,-0.02997390477164353,-0.024161137640476227,-0.026819512248039246,0.005812767131167303,0.003154392523604284
82,0.015355638585187365,0.013521760702133179,0.011102929711341858,0.0018338778830541864,0.004252708873845507
85,0.01954045146040731,0.019833877682685852,0.017122022807598114,0.0002934262222785422,0.002418428652809196
88,0.021447474780427613,0.021354176104068756,0.020638763904571533,9.329867635885641e-05,0.0008087108758560793
91,-0.01156393531940523,-0.007567256689071655,-0.009233903139829636,0.003996678630333575,0.002330032179575595
94,-0.012328198394318715,-0.01075860857963562,-0.013322785496711731,0.001569589814683095,0.0009945871023930158
97,0.02464628759941243,0.021184176206588745,0.020046941936016083,0.0034621113928236837,0.004599345663396346
100,-0.012927476437778786,-0.012305937707424164,-0.015243329107761383,0.0006215387303546219,0.0023158526699825974
103,-0.008845437620981769,-0.011013828217983246,-0.012955378741025925,0.002168390597001477,0.004109941120044156
106,0.007764980595106067,0.010926544666290283,0.007641829550266266,0.003161564071184216,0.0001231510448398013
109,-0.012120079808872817,-0.00413079559803009,-0.007566884160041809,0.007989284210842726,0.0045531956488310075
112,-0.0239023233947945,-0.021728109568357468,-0.024403415620326996,0.002174213826437031,0.000501092225532497
115,0.0025210019779544767,0.007545292377471924,0.00418449193239212,0.005024290399517448,0.0016634899544376437
118,-0.020368349226434487,-0.013204440474510193,-0.015575006604194641,0.007163908751924294,0.0047933426222398455
