case_name,baseline_abs_error_pm,proposed_abs_error_pm
Case 1,5.562307092239678,1.310953649570763
Case 2,4.331178091260647,0.6816303951470601
Case 3,8.734248751133642,5.178570919960698
Case 4,4.370963842169754,1.455462247626297
Case 5,8.906167353605081,6.240506078218271
