baseline_abs_error_nm,proposed_abs_error_nm
0.002375927294540293,0.004525211180496104
0.004597442475842022,0.0025379827895627254
0.0001724164615021131,0.002888786388431587
0.0023238548378633934,0.005135309074370809
0.009380294125179125,0.007046504061321093
0.0016046171857776771,0.0047796821071567665
0.0027776653824731386,8.724676981720567e-05
0.0005837191757166237,0.0023808066662752477
0.0050392812612248435,0.002123347533006765
0.004448710581276799,0.005752048095677281
0.0019759604764436386,0.004863567097232213
0.004305797967011464,0.006510126742417348
0.003431820704554781,0.006599435045336947
0.0025342729943632486,0.0034981397050260904
0.0012428892646940567,0.001735152503379979
0.004246530639446156,0.0015858761542204784
0.006737542827951113,0.0040164417823425926
0.003967957585661215,0.002023486435024542
0.007401633626292892,0.004663664466212936
0.0011111543156851356,0.0012915163657914574
0.005335850419424908,0.0034807862359513206
0.0021969301477892597,0.0007004400567038258
0.00439617499384292,0.0067957983878553715
0.005390435575368207,0.0031498187471650056
0.00014017590661138946,0.002864383844328827
0.00708583777423517,0.004409805290657442
0.00032625672431136395,0.0029697758236393807
0.0058313630825661475,0.003936054587998276
0.001034494651195145,0.00339637340390358
0.0037880709839589986,0.0010308681500680837
0.0025903005356981944,0.00012086888597462667
0.003449532015339802,0.000527362151162098
0.00012428968340919694,0.0004888167896942922
0.002070615477911899,0.0019528143480939363
0.00207861640137682,0.0009906353743647572
0.0002596974830444722,0.0002689063091460796
0.0019861031466632956,0.000536570339789974
0.002143835668866039,0.0007667076042336234
0.002770434577520046,0.000989768166597042
0.0030948060281892377,0.00564849252778488
0.003033605848608508,0.0007521076846699858
0.0040203054358748935,0.006591620009162857
0.003649651881377872,0.0011644585692097507
0.0009380092820653087,0.0009502397873869771
0.002293163399965991,0.00044157220813490026
0.0038503658867784594,0.0021409531033941363
0.0009656303253151449,0.0036283411707855734
0.000750409220213348,0.0007810609087890927
0.0023564945852437725,0.0005012366866746654
0.003623671071217565,0.0036960981652002615
0.006093961767859866,0.004089658729739596
0.009454067118111285,0.007363464004936846
0.00364995740912755,0.002971753409131365
1.6462069564503537e-05,0.002594310778564769
0.004941592447347567,0.007471794716901705
0.00623914577715296,0.003405287644790594
0.007135397467555846,0.005369028720798339
0.0022371968158443924,0.0006647968760768418
0.006930193913655805,0.004531438512282895
0.002563895411625501,0.002992817886009809
0.006237740587055007,0.007864820729553024
0.003681910175202873,0.0008519337953315047
0.002283807823401724,0.0036428533289254057
0.0020333526125042023,0.0004583227047832428
0.005849339825373872,0.004011765879851564
0.007395627515137185,0.005545734034597863
0.0007427054484464152,0.002638326867399357
0.004568834957868624,0.0016043085429974084
0.005511461962175734,0.007895297575903303
0.004337401176965386,0.0013031596794487541
0.005236147169708708,0.003065293852924803
0.0018764539907855093,3.500201806250214e-05
0.007510481018204323,0.005573303985972038
0.00025819439879510436,0.002137499046240783
0.005383827983135877,0.0034911048400351388
0.00046947343254386334,0.0028572876563101902
0.0013736476949423905,0.0010472098537712936
0.005674776079343916,0.0037034567615262283
0.007492347014031011,0.005008029145083028
0.0005913450555697763,0.002429857925902239
0.0007521437803296965,0.0020992902716608125
0.0022403995971504143,0.005043673096162408
0.004762914447608246,0.0019067120240357058
0.0023893182242308306,0.0004782741034422564
0.004576554680584834,0.0018406642324914203
0.00439982662673951,0.007166569929084786
0.004415912987420653,0.006931109787652587
0.003193247256741444,0.00011513674067012425
0.007673683222638412,0.009258585628377242
0.002912728157473978,0.005232511129809794
0.0005630360403113179,0.0025084385135226064
0.0011350578846314914,0.0034885398330071933
0.0011667355376164916,0.004026558943359137
0.003704426543172762,0.001099636511262819
0.006318184403537135,0.0034467418173535873
0.0034341284191873496,0.0006847077167299216
0.004808292974574139,0.0027133349970407984
0.0002228252427193024,0.0005201257602783539
0.005277316228244032,0.005818295434806074
0.002592121332049203,0.0005942833729984044
0.0018791125971496427,0.0009390546124756014
0.004915538540338179,0.002821016421769759
0.005926971807829872,0.0032661645857019576
0.00539263396530449,0.007832348933508988
0.005997161305369829,0.004044840968074297
0.0016730959551555444,0.004615710212491207
0.006451935203269525,0.007936888070300623
0.008511665787497052,0.006303738381662854
0.0030191242648963494,0.003974460060775713
0.003057436460070218,0.000523669087700452
0.0028061830789649425,0.002931054809769386
0.002780777989489159,0.005446640430552086
0.0017767040772501581,0.0031329183621470087
0.0012702369058334075,0.004305290516635104
0.0005910369088968186,0.001192728943554506
0.00014247261081869536,0.0023232821365720517
0.00814465671617122,0.005156430004421189
0.001640243807875693,0.0005335643683310153
0.002515745983186544,0.0002688334143789422
0.003414441372837019,0.0047961813468589305
