baseline_abs_error_nm,proposed_abs_error_nm
0.005933106738152248,0.006300770538868648
0.007104799595929181,0.008393146542168653
0.0031679155734902625,0.0003150743933790917
0.0008808055706479544,0.0021036544628598684
0.006478958613614697,0.008857396281699795
0.00037048853347879454,0.001510166594487248
0.007803283747425893,0.005527757223835805
0.015667608877728126,0.009332380196163795
0.004532882243020394,0.0008195054229329611
0.01914767293295454,0.014951710831733456
0.016094884138474846,0.009873045843015099
0.0005442625201989345,0.003422861389045828
0.0009610083488217798,0.00011037769043526977
0.006590640528839994,0.008713787778061796
0.0029681235020000488,0.0024838469390708953
0.0019611649602163227,0.0026467375844228657
0.0004074164149363742,0.0018962621274391904
0.0011788591556169958,0.0023660719208338232
0.003004630586057197,0.0018506995643668284
0.007521397403730892,0.005772101662411235
0.003741468785332664,0.00453123032860659
0.0014297927519423687,0.00044682223590782055
0.006520242769331603,0.0065521387048670336
0.0015546465973225367,0.0005829175253543126
0.01038200446934916,0.004734710246040597
0.01696753177128271,0.014208470017532861
0.002465008569703265,0.00014600045774952955
0.008358638050347039,0.002253114493876168
0.008872155757741954,0.006568033905820872
0.008156325252368389,0.006377566190078198
0.006596876644952058,0.007630816066128968
0.011717122191410773,0.011998411411267035
0.003674468479464857,0.0040686377206548135
0.0038873518180537517,0.005677838094203502
0.0045321602572754895,0.001758927499230293
0.019564319278078026,0.01501987862117762
0.012206916592797538,0.013162848435124656
0.00219791644720602,0.002495276569409847
0.00046335077392694116,0.0022397645701206052
0.006397730875059033,0.006905994582219983
0.0084279043399611,0.005594139339856195
0.012625926688534222,0.008646187886816464
0.011506414283411252,0.008293031026022184
0.014953156081139757,0.01151018318265648
0.014082853472068134,0.011277683800294223
0.013025450912299391,0.010158318486991164
0.019312061108319626,0.01206882644411789
0.0094038517970585,0.007445142586901106
0.007261281774626024,0.004577910469160326
0.002611361765138768,0.002872392856351994
0.006485873349282554,0.009266094751927665
0.00996966826174708,0.009911911360959726
0.004096357835354645,0.002596883786740143
0.0005020870734660825,0.0010849275718719758
0.003364465665453495,0.0033576334830461158
0.0011964547672240968,0.001390579644676947
0.0007587214104760598,0.0008053938753973533
0.0006922082024818886,0.0002652137559646141
0.019393423022653296,0.01238444578828974
0.0009621375517822016,0.0006173395829177607
0.0010832203456792831,0.00026699061483478545
0.005736446825763849,0.002697455583116678
0.006415947436168475,0.004497288822009844
0.008523878846561216,0.0083565537075155
0.01978313245500071,0.012590002945313285
0.0019182670789486878,0.00011340194170408325
9.760600405230978e-05,0.0007531608931492283
0.0023716733106148823,0.0030476346858513935
0.00525678943106218,0.002861550703731019
0.00178661343630457,0.0018018349724640854
0.004232247865990173,0.005097051657036316
0.0005453261352751058,0.002629790940168162
0.006277123752992647,0.0015017858781032733
0.0012871468882747483,0.0013590300898738694
0.00831621449802521,0.004936139400941165
0.005116828138634205,0.004386879856392384
0.004932644875403975,0.006238068552371596
0.016997385111969004,0.010115492430847178
0.0035645955680820886,0.004196650671860928
0.014926955063996963,0.012676157017408065
0.005875673616775693,0.0013599959262697112
0.008223505067841304,0.0031353284895579954
0.003168143106460318,0.001213840914726004
0.001970525703176896,0.0014164297494739693
0.0008801512278855169,0.00020524935347434638
0.013803248649231284,0.01104584837495455
0.006224915887708023,0.0047715385812466884
0.0024840912301166314,0.0035855627138240594
0.009589493625263373,0.013329558425048987
0.003226215969204589,0.00016849024164645315
0.01032475187120042,0.007896138268085337
0.005721390441721652,0.004858277932471011
0.010714751088377356,0.006302241587396978
0.013786628820981587,0.008464038350667561
0.0062435235523930765,0.0077465142750493265
0.00840385089584613,0.003441794020617249
0.003691491193250171,0.0032108691401038086
0.0023221129024058873,0.0029687264406711156
0.009795050532469169,0.009972426504740135
0.005567209235208637,0.004832798055189259
6.853417579421976e-05,0.0010938681763816831
0.0014581987965164734,0.0024288120079098297
0.0020130713349108265,0.0037650083070520923
0.004490456032012823,0.003782308148597601
0.0055799284692023,0.0031768107528898915
0.010502994606298794,0.007475287267965664
0.014428510304614114,0.007200322087927865
0.0030607046204074832,0.002632117422150037
0.0009667810069087825,0.0031015027330879054
0.004411976508829851,0.0028308813497760488
0.013775537331492907,0.007356608827502734
0.005022185385858805,0.0064470865732786965
0.0024669254917919978,0.004981392135125433
0.009666683434220766,0.00894335871812961
0.009656282567481916,0.005878495478134077
0.005039402150395734,0.0028381951682599615
0.0029798397711136397,0.00013287606748128497
0.00017596703038080808,7.858950629369144e-05
0.0021782748828483925,0.003381208373124729
0.005994923008553531,0.005930658025614765
