Project Metrics Summary

Generated: 2026-03-22 17:26:32
Source scan: results/**/metrics_table.csv and results/**/*summary.csv
Single-run result rows: 269
Multi-seed summary rows: 24
Note: Some comparison tables do not contain P95/P99; those cells are marked as -.

1. Key Multi-seed Results On phase4a_shift004_linewidth_l3

| Scenario | Summary | Method | RMSE_mean+-std | MAE_mean+-std | P95_mean+-std | P99_mean+-std | R2_mean+-std | Source |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2 | Old-CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2 | Old-CNN+C2FRefine | - | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_clip002 | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_clip002 | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_clip002 | CNN+C2FRefineV2 | - | 0.01366117 | 0.01054524 | 0.02702843 | 0.03919639 | 0.99775785 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_clip002 | Old-C2F-Coarse | - | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_clip002 | Old-CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_clip002 | Old-CNN+C2FRefine | - | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus/metrics_table.csv |
