Project Metrics Summary

Generated: 2026-03-22 17:26:32
Source scan: results/**/metrics_table.csv and results/**/*summary.csv
Single-run result rows: 269
Multi-seed summary rows: 24
Note: Some comparison tables do not contain P95/P99; those cells are marked as -.

1. Key Multi-seed Results On phase4a_shift004_linewidth_l3

| Scenario | Summary | Method | RMSE_mean+-std | MAE_mean+-std | P95_mean+-std | P99_mean+-std | R2_mean+-std | Source |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed44 | C2Fv2-Coarse(BaselineCNN) | 44 | 0.01348343 | 0.01036250 | 0.02647938 | 0.03802189 | 0.99781579 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed44 | CNN | 44 | 0.01348343 | 0.01036250 | 0.02647938 | 0.03802189 | 0.99781579 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed44 | CNN+C2FRefineV2 | 44 | 0.01345395 | 0.01027519 | 0.02673033 | 0.03943722 | 0.99782532 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed45 | C2Fv2-Coarse(BaselineCNN) | 45 | 0.01364668 | 0.01057461 | 0.02538501 | 0.03829530 | 0.99776256 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed45 | CNN | 45 | 0.01364668 | 0.01057461 | 0.02538501 | 0.03829530 | 0.99776256 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed45 | CNN+C2FRefineV2 | 45 | 0.01371723 | 0.01062057 | 0.02638269 | 0.03899269 | 0.99773937 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed46 | C2Fv2-Coarse(BaselineCNN) | 46 | 0.01363996 | 0.01050204 | 0.02692594 | 0.03951936 | 0.99776477 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed46 | CNN | 46 | 0.01363996 | 0.01050204 | 0.02692594 | 0.03951936 | 0.99776477 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed46 | CNN+C2FRefineV2 | 46 | 0.01340833 | 0.01026502 | 0.02603757 | 0.03885843 | 0.99784005 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_coarse_tailaware_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed42 | C2Fv2-Coarse(BaselineCNN) | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed42 | CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed42 | CNN+C2FRefineV2 | 42 | 0.01363716 | 0.01052148 | 0.02660498 | 0.03885153 | 0.99776572 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed43 | C2Fv2-Coarse(BaselineCNN) | 43 | 0.01400691 | 0.01071490 | 0.02737987 | 0.04069436 | 0.99764287 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed43 | CNN | 43 | 0.01400691 | 0.01071490 | 0.02737987 | 0.04069436 | 0.99764287 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed43 | CNN+C2FRefineV2 | 43 | 0.01390622 | 0.01067294 | 0.02764139 | 0.03978385 | 0.99767667 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed44 | C2Fv2-Coarse(BaselineCNN) | 44 | 0.01438614 | 0.01100872 | 0.02859798 | 0.04353264 | 0.99751353 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed44 | CNN | 44 | 0.01438614 | 0.01100872 | 0.02859798 | 0.04353264 | 0.99751353 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed44 | CNN+C2FRefineV2 | 44 | 0.01435411 | 0.01097178 | 0.02729682 | 0.04341076 | 0.99752462 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed45 | C2Fv2-Coarse(BaselineCNN) | 45 | 0.01298287 | 0.01001539 | 0.02511661 | 0.03562651 | 0.99797493 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed45 | CNN | 45 | 0.01298287 | 0.01001539 | 0.02511661 | 0.03562651 | 0.99797493 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed45 | CNN+C2FRefineV2 | 45 | 0.01278835 | 0.00983189 | 0.02466283 | 0.03439927 | 0.99803519 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed46 | C2Fv2-Coarse(BaselineCNN) | 46 | 0.01312960 | 0.01018609 | 0.02537398 | 0.03739524 | 0.99792892 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed46 | CNN | 46 | 0.01312960 | 0.01018609 | 0.02537398 | 0.03739524 | 0.99792892 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_explicit_tailfocus_seed46 | CNN+C2FRefineV2 | 46 | 0.01312976 | 0.01014196 | 0.02555946 | 0.03725144 | 0.99792886 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_explicit_tailfocus_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed42 | C2Fv2-Coarse(BaselineCNN) | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed42 | CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed42 | CNN+C2FRefineV2 | 42 | 0.01366117 | 0.01054524 | 0.02702843 | 0.03919639 | 0.99775785 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed42 | Old-C2F-Coarse | 42 | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed42 | Old-CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed42 | Old-CNN+C2FRefine | 42 | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed52 | C2Fv2-Coarse(BaselineCNN) | 52 | 0.01308872 | 0.01000880 | 0.02469409 | 0.03842233 | 0.99794179 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed52/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed52 | CNN | 52 | 0.01308872 | 0.01000880 | 0.02469409 | 0.03842233 | 0.99794179 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed52/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed52 | CNN+C2FRefineV2 | 52 | 0.01289568 | 0.00987224 | 0.02458923 | 0.03855846 | 0.99800205 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed52/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed52 | Old-C2F-Coarse | 52 | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed52/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed52 | Old-CNN | 52 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed52/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed52 | Old-CNN+C2FRefine | 52 | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed52/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed62 | C2Fv2-Coarse(BaselineCNN) | 62 | 0.01381712 | 0.01050653 | 0.02796586 | 0.04068114 | 0.99770635 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed62/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed62 | CNN | 62 | 0.01381712 | 0.01050653 | 0.02796586 | 0.04068114 | 0.99770635 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed62/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed62 | CNN+C2FRefineV2 | 62 | 0.01368426 | 0.01038987 | 0.02754877 | 0.03996178 | 0.99775022 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed62/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed62 | Old-C2F-Coarse | 62 | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed62/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed62 | Old-CNN | 62 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed62/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed62 | Old-CNN+C2FRefine | 62 | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed62/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed72 | C2Fv2-Coarse(BaselineCNN) | 72 | 0.01331592 | 0.01024576 | 0.02596833 | 0.03833464 | 0.99786973 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed72/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed72 | CNN | 72 | 0.01331592 | 0.01024576 | 0.02596833 | 0.03833464 | 0.99786973 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed72/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed72 | CNN+C2FRefineV2 | 72 | 0.01320585 | 0.01013610 | 0.02574755 | 0.03824219 | 0.99790478 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed72/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed72 | Old-C2F-Coarse | 72 | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed72/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed72 | Old-CNN | 72 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed72/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed72 | Old-CNN+C2FRefine | 72 | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed72/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed82 | C2Fv2-Coarse(BaselineCNN) | 82 | 0.01305182 | 0.00999897 | 0.02511454 | 0.03662958 | 0.99795341 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed82/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed82 | CNN | 82 | 0.01305182 | 0.00999897 | 0.02511454 | 0.03662958 | 0.99795341 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed82/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed82 | CNN+C2FRefineV2 | 82 | 0.01305487 | 0.01000774 | 0.02518720 | 0.03700183 | 0.99795240 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed82/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed82 | Old-C2F-Coarse | 82 | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed82/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed82 | Old-CNN | 82 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed82/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_seed82 | Old-CNN+C2FRefine | 82 | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_seed82/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus | CNN+C2FRefineV2 | - | 0.01364195 | 0.01053208 | 0.02690651 | 0.03900715 | 0.99776411 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_conservative | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_conservative/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_conservative | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_conservative/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_conservative | CNN+C2FRefineV2 | - | 0.01365596 | 0.01055055 | 0.02697811 | 0.03949090 | 0.99775952 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_conservative/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed42 | C2Fv2-Coarse(BaselineCNN) | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed42 | CNN | 42 | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed42 | CNN+C2FRefineV2 | 42 | 0.01364195 | 0.01053208 | 0.02690651 | 0.03900715 | 0.99776411 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed42/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed43 | C2Fv2-Coarse(BaselineCNN) | 43 | 0.01400691 | 0.01071490 | 0.02737987 | 0.04069436 | 0.99764287 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed43 | CNN | 43 | 0.01400691 | 0.01071490 | 0.02737987 | 0.04069436 | 0.99764287 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed43 | CNN+C2FRefineV2 | 43 | 0.01385482 | 0.01059128 | 0.02702351 | 0.03901444 | 0.99769384 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed43/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed44 | C2Fv2-Coarse(BaselineCNN) | 44 | 0.01438614 | 0.01100872 | 0.02859798 | 0.04353264 | 0.99751353 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed44 | CNN | 44 | 0.01438614 | 0.01100872 | 0.02859798 | 0.04353264 | 0.99751353 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed44 | CNN+C2FRefineV2 | 44 | 0.01439402 | 0.01100681 | 0.02757252 | 0.04398706 | 0.99751079 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed44/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed45 | C2Fv2-Coarse(BaselineCNN) | 45 | 0.01298287 | 0.01001539 | 0.02511661 | 0.03562651 | 0.99797493 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed45 | CNN | 45 | 0.01298287 | 0.01001539 | 0.02511661 | 0.03562651 | 0.99797493 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed45 | CNN+C2FRefineV2 | 45 | 0.01276404 | 0.00981435 | 0.02465316 | 0.03455400 | 0.99804264 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed45/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed46 | C2Fv2-Coarse(BaselineCNN) | 46 | 0.01312960 | 0.01018609 | 0.02537398 | 0.03739524 | 0.99792892 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed46 | CNN | 46 | 0.01312960 | 0.01018609 | 0.02537398 | 0.03739524 | 0.99792892 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_seed46 | CNN+C2FRefineV2 | 46 | 0.01326339 | 0.01026322 | 0.02603558 | 0.03814742 | 0.99788648 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_seed46/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_tailonly | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_tailonly/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_tailonly | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_tailonly/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_tailfocus_tailonly | CNN+C2FRefineV2 | - | 0.01369805 | 0.01057994 | 0.02748051 | 0.03948528 | 0.99774569 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_tailfocus_tailonly/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_w160_clip002 | C2Fv2-Coarse(BaselineCNN) | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_w160_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_w160_clip002 | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_w160_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_w160_clip002 | CNN+C2FRefineV2 | - | 0.01366875 | 0.01055105 | 0.02714211 | 0.03926878 | 0.99775535 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_w160_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_w160_clip002 | Old-C2F-Coarse | - | 0.01480364 | 0.01149240 | 0.02829173 | 0.04060903 | 0.99736714 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_w160_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_w160_clip002 | Old-CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_w160_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_c2f_refine_v2_w160_clip002 | Old-CNN+C2FRefine | - | 0.01388361 | 0.01066535 | 0.02643984 | 0.04132626 | 0.99768424 | results/phase4a_shift004_linewidth_l3/method_enhance_c2f_refine_v2_w160_clip002/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_cnn_vs_bilstm | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_cnn_vs_bilstm/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_cnn_vs_bilstm | CNN+BiLSTM | - | 0.01443842 | 0.01132052 | 0.02679872 | 0.04183600 | 0.99749541 | results/phase4a_shift004_linewidth_l3/method_enhance_cnn_vs_bilstm/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_cnn_vs_lightse | CNN | - | 0.01388817 | 0.01070953 | 0.02783730 | 0.03923561 | 0.99768269 | results/phase4a_shift004_linewidth_l3/method_enhance_cnn_vs_lightse/metrics_table.csv |
| phase4a_shift004_linewidth_l3 | method_enhance_cnn_vs_lightse | CNN+LightSE | - | 0.01367775 | 0.01051030 | 0.02633378 | 0.03976605 | 0.99775237 | results/phase4a_shift004_linewidth_l3/method_enhance_cnn_vs_lightse/metrics_table.csv |
