exp_idx,reference_shift_nm,baseline_shift_nm,proposed_shift_nm,baseline_abs_error_nm,proposed_abs_error_nm
1,0.0012382236373900248,-0.0011377036571502686,-0.003286987543106079,0.002375927294540293,0.004525211180496104
4,0.008691493545024343,0.00636763870716095,0.003556184470653534,0.0023238548378633934,0.005135309074370809
7,0.004501134628208014,0.007278800010681152,0.004413887858390808,0.0027776653824731386,8.724676981720567e-05
10,0.024884259900067235,0.020435549318790436,0.019132211804389954,0.004448710581276799,0.005752048095677281
13,0.009610743655776247,0.006178922951221466,0.0030113086104393005,0.003431820704554781,0.006599435045336947
16,0.011384489429676159,0.015631020069122314,0.012970365583896637,0.004246530639446156,0.0015858761542204784
19,-0.0017006877721058799,0.005700945854187012,0.0029629766941070557,0.007401633626292892,0.004663664466212936
22,-0.01943652684249713,-0.01723959669470787,-0.018736086785793304,0.0021969301477892597,0.0007004400567038258
25,0.010682553736163086,0.010542377829551697,0.007818169891834259,0.00014017590661138946,0.002864383844328827
28,-0.021442996740975266,-0.015611633658409119,-0.01750694215297699,0.0058313630825661475,0.003936054587998276
31,-0.0034757126326754283,-0.0008854120969772339,-0.003596581518650055,0.0025903005356981944,0.00012086888597462667
34,0.025070878155581424,0.023000262677669525,0.023118063807487488,0.002070615477911899,0.0019528143480939363
37,-0.009762955843797314,-0.007776852697134018,-0.00922638550400734,0.0019861031466632956,0.000536570339789974
40,0.016243948293509062,0.013149142265319824,0.010595455765724182,0.0030948060281892377,0.00564849252778488
43,0.010690420988876645,0.014340072870254517,0.011854879558086395,0.003649651881377872,0.0011644585692097507
46,-0.008248920450300798,-0.004398554563522339,-0.006107967346906662,0.0038503658867784594,0.0021409531033941363
49,-0.01012172437664659,-0.007765229791402817,-0.009620487689971924,0.0023564945852437725,0.0005012366866746654
52,-0.020745161242428454,-0.01129109412431717,-0.013381697237491608,0.009454067118111285,0.007363464004936846
55,0.018055001728124544,0.013113409280776978,0.01058320701122284,0.004941592447347567,0.007471794716901705
58,0.004786085533265257,0.00702328234910965,0.0041212886571884155,0.0022371968158443924,0.0006647968760768418
61,0.0272059989679449,0.020968258380889893,0.019341178238391876,0.006237740587055007,0.007864820729553024
64,-0.01377432024384423,-0.011740967631340027,-0.014232642948627472,0.0020333526125042023,0.0004583227047832428
67,0.015914888962087773,0.015172183513641357,0.013276562094688416,0.0007427054484464152,0.002638326867399357
70,0.0025674318418143684,0.006904833018779755,0.0038705915212631226,0.004337401176965386,0.0013031596794487541
73,-0.019142707425732246,-0.011632226407527924,-0.013569403439760208,0.007510481018204323,0.005573303985972038
76,0.018037108015063395,0.01756763458251953,0.015179820358753204,0.00046947343254386334,0.0028572876563101902
79,-0.00943234409101923,-0.0019399970769882202,-0.004424314945936203,0.007492347014031011,0.005008029145083028
82,0.0034784774761024407,0.0012380778789520264,-0.001565195620059967,0.0022403995971504143,0.005043673096162408
85,0.0005409362070570722,0.005117490887641907,0.0023816004395484924,0.004576554680584834,0.0018406642324914203
88,0.003745113374724468,0.006938360631465912,0.0038602501153945923,0.003193247256741444,0.00011513674067012425
91,-0.007992067053074378,-0.008555103093385696,-0.010500505566596985,0.0005630360403113179,0.0025084385135226064
94,-0.00018195594972030804,0.0035224705934524536,0.000917680561542511,0.003704426543172762,0.001099636511262819
97,-0.026287426491124203,-0.021479133516550064,-0.023574091494083405,0.004808292974574139,0.0027133349970407984
100,0.003698999912381339,0.006291121244430542,0.0031047165393829346,0.002592121332049203,0.0005942833729984044
103,-0.010179934575907722,-0.00425296276807785,-0.006913769990205765,0.005926971807829872,0.0032661645857019576
106,0.011071183814309292,0.009398087859153748,0.006455473601818085,0.0016730959551555444,0.004615710212491207
109,0.02358816563624187,0.02056904137134552,0.019613705575466156,0.0030191242648963494,0.003974460060775713
112,0.011069124220472893,0.008288346230983734,0.005622483789920807,0.002780777989489159,0.005446640430552086
115,-0.020068791740210905,-0.019477754831314087,-0.02126152068376541,0.0005910369088968186,0.001192728943554506
118,0.017658279856598794,0.019298523664474487,0.01819184422492981,0.001640243807875693,0.0005335643683310153
