exp_idx,reference_shift_nm,baseline_shift_nm,proposed_shift_nm,baseline_abs_error_nm,proposed_abs_error_nm
1,0.029869840848684104,0.026172250509262085,0.02829492837190628,0.003697590339422019,0.0015749124767778233
2,0.024322503752379647,0.021628104150295258,0.021413102746009827,0.0026943996020843894,0.0029094010063698203
3,-0.02133604535369102,-0.019114457070827484,-0.021751370280981064,0.0022215882828635347,0.000415324927290045
4,-0.0006967843634387555,0.007383421063423157,0.004293717443943024,0.008080205426861912,0.004990501807381779
5,-0.00359101319705767,-0.0017497837543487549,-0.003941364586353302,0.0018412294427089153,0.0003503513892956318
6,0.012521086804079573,0.008237175643444061,0.005015932023525238,0.0042839111606355115,0.007505154780554335
7,0.01678011527985759,0.013642802834510803,0.010806828737258911,0.003137312445346787,0.005973286542598679
8,-0.01805695099616343,-0.00896783173084259,-0.01189221441745758,0.009089119265320841,0.006164736578705851
9,-0.0013211174613650023,0.004900649189949036,0.0017159618437290192,0.0062217666513140375,0.0030370793050940215
10,-0.00625146269276047,-0.0010376572608947754,-0.004331819713115692,0.005213805431865694,0.0019196429796447777
11,-0.025588374616684492,-0.02227456122636795,-0.02475190907716751,0.0033138133903165418,0.0008364655395169812
12,0.02050343534550213,0.016224190592765808,0.013755202293395996,0.004279244752736323,0.006748233052106135
13,-0.02899257395500138,-0.023936651647090912,-0.0265343114733696,0.005055922307910469,0.0024582624816317823
14,-0.006534683263822462,-0.00019726157188415527,-0.0036952681839466095,0.006337421691938306,0.002839415079875852
15,-0.011392138394907112,-0.006625618785619736,-0.009521298110485077,0.004766519609287376,0.0018708402844220349
16,-0.015417121571048261,-0.013475541025400162,-0.015228986740112305,0.0019415805456480997,0.00018813483093595672
17,0.008366212862676633,0.00302240252494812,-2.7079135179519653e-05,0.005343810337728513,0.008393291997856153
18,-0.0011533563108735974,-0.003902442753314972,-0.00649338960647583,0.0027490864424413747,0.005340033295602233
19,-0.016920719041744633,-0.008836545050144196,-0.011183112859725952,0.008084173991600437,0.005737606182018681
20,0.006554982693953789,0.008827835321426392,0.005975589156150818,0.002272852627472602,0.0005793935378029715
21,-0.014070124903565732,-0.011259086430072784,-0.013360142707824707,0.002811038473492948,0.0007099821957410254
22,-0.011198359448248504,-0.0042167603969573975,-0.006715204566717148,0.006981599051291107,0.004483154881531356
23,-0.0015841638487131637,-0.0014352574944496155,-0.00346190482378006,0.00014890635426354827,0.001877740975066896
24,-0.004328498473028784,0.0001511499285697937,-0.001922421157360077,0.0044796484015985774,0.002406077315668707
25,0.0013119132979409044,0.005184382200241089,0.0020808428525924683,0.0038724689023001847,0.0007689295546515638
26,-0.029315283933088916,-0.02689291536808014,-0.0303180068731308,0.002422368565008777,0.0010027229400418822
27,0.009375932185906016,0.015567101538181305,0.012897402048110962,0.006191169352275289,0.0035214698622049456
28,0.0171590715359291,0.016788654029369354,0.015223875641822815,0.0003704175065597469,0.0019351958941062862
29,-0.005515625066234652,-0.0068405866622924805,-0.008724279701709747,0.0013249615960578285,0.0032086546354750953
30,0.004891330790347346,0.002961486577987671,-0.00023683905601501465,0.001929844212359675,0.0051281698463623605
31,0.012986393759220604,0.0128837451338768,0.009650558233261108,0.0001026486253438031,0.0033358355259594952
32,-0.0004398359728066978,0.0008731633424758911,-0.0021648108959198,0.001312999315282589,0.001724974923113102
33,0.004247348832102858,0.004937775433063507,0.0019143521785736084,0.0006904266009606494,0.0023329966535292493
34,-0.010527059104344818,-0.006826899945735931,-0.009673219174146652,0.003700159158608886,0.0008538399301981654
35,0.029047470782900597,0.025907352566719055,0.027825430035591125,0.003140118216181542,0.0012220407473094719
36,0.02107160549624821,0.019847922027111053,0.018864676356315613,0.001223683469137156,0.0022069291399325966
