position_m,amplitude
0.0,0.016567870433049768
0.000409039253158797,0.019545586832050033
0.000818078506317594,0.019996317452938766
0.001227117759476391,0.020237357181832682
0.001636157012635188,0.018902137909864322
0.002045196265793985,0.018247545732673467
0.002454235518952782,0.01885508187756124
0.002863274772111579,0.019250467591110126
0.003272314025270376,0.01789217766834401
0.003681353278429173,0.019876553009956315
0.00409039253158797,0.01590934764735524
0.0044994317847467675,0.01809114004371801
0.004908471037905564,0.01771364637125579
0.005317510291064361,0.019272023621973944
0.005726549544223158,0.01630189373748138
0.006135588797381955,0.019480079957175125
0.006544628050540752,0.019883328010246965
0.006953667303699549,0.01920289641688845
0.007362706556858346,0.01777710716529742
0.007771745810017143,0.016382145910377108
0.00818078506317594,0.018574583352435
0.008589824316334737,0.019456693530072674
0.008998863569493535,0.01820407595172069
0.009407902822652331,0.016368715757378298
0.009816942075811129,0.018049504936568695
0.010225981328969925,0.016460037835873166
0.010635020582128722,0.01744847321078593
0.011044059835287518,0.018061719253558598
0.011453099088446316,0.017311576473959398
0.011862138341605113,0.017037412039174
0.01227117759476391,0.01715434642540387
0.012680216847922707,0.017835487964635195
0.013089256101081505,0.018279879383275938
0.013498295354240302,0.018785313981282012
0.013907334607399098,0.018546053587500135
0.014316373860557896,0.017461711537915644
0.014725413113716692,0.016181900765321517
0.015134452366875491,0.017613559036953354
0.015543491620034286,0.017671703914323416
0.015952530873193087,0.01671110010065917
0.01636157012635188,0.01909564004796216
0.01677060937951068,0.018987368087543796
0.017179648632669475,0.01817812386595274
0.01758868788582827,0.01853064421194806
0.01799772713898707,0.019435206278610687
0.018406766392145866,0.018551243113060487
0.018815805645304662,0.020169666627880303
0.019224844898463458,0.019827730216149538
0.019633884151622257,0.01945160082587882
0.020042923404781053,0.017793457942348715
0.02045196265793985,0.019059454743202402
0.02086100191109865,0.020508041979558914
0.021270041164257444,0.019083106544547788
0.02167908041741624,0.021004528928861555
0.022088119670575036,0.019792769720281114
0.02249715892373384,0.018774963355492075
0.02290619817689263,0.018770899467191658
0.023315237430051428,0.02087220833149396
0.023724276683210227,0.020760197559465822
0.024133315936369023,0.02036755910925643
0.02454235518952782,0.01825860823979247
0.02495139444268662,0.0200370546261152
0.025360433695845414,0.018257329427327534
0.025769472949004214,0.021159277891427485
0.02617851220216301,0.020431890591162682
0.026587551455321805,0.0199362362782526
0.026996590708480605,0.0193557350323257
0.0274056299616394,0.01804123885574645
0.027814669214798197,0.018225791010917154
0.02822370846795699,0.020126137678773658
0.028632747721115792,0.019924634847817865
0.02904178697427459,0.017658110949614936
0.029450826227433384,0.01860777913846612
0.02985986548059218,0.01815372732395872
0.030268904733750983,0.01902681914202415
0.03067794398690978,0.017724408282244888
0.03108698324006857,0.018783476291268194
0.03149602249322737,0.018362246035899824
0.031905061746386174,0.017458441340172035
0.032314100999544966,0.018100171340974115
