temperature_C,reference_shift_nm,reference_std_nm,baseline_mean_nm,baseline_std_nm,proposed_mean_nm,proposed_std_nm,count
20.0,0.0002620704017441461,0.0003625855362990876,0.0067276835246314216,7.995640964895491e-05,0.004533102817948349,0.00011988987232205723,11
22.0,0.010458516211497642,0.00030796982602670337,0.017153112665046523,0.00010140050030103923,0.01536498619096947,0.00017108369202234661,11
24.0,0.019038642460073658,0.00031233748997865323,0.024968843697215047,0.0005327547068008141,0.02326749515133863,0.0005315649218499884,11
26.0,0.030845661952979005,0.00028053497601311433,0.035148975425452325,0.00010695077120221294,0.0334986836764301,9.171051694138003e-05,11
28.0,0.037817234400165774,0.00039165048566080775,0.04187998729507342,5.646100798794302e-05,0.04009710941636414,0.00018053994118541074,11
30.0,0.05115562548538482,0.0003461080834977521,0.05435835062797832,0.0006497505633982454,0.05191282793219852,0.0009504358284356963,11
32.0,0.057775866832731164,0.0003286403549741349,0.05835373953004604,0.0009944943226858772,0.05545020018131369,0.0007259191159181684,11
34.0,0.07032730302475637,0.0003986582533801531,0.0694300528103691,0.00012289977310763134,0.06710691301281162,8.05861770500177e-05,11
36.0,0.07755323969349277,0.0004036426136170406,0.07591491069104246,0.0003193903405620761,0.07393894492023433,0.000158152558174649,11
38.0,0.08895299698532011,0.00039044531936669374,0.0859824649733906,0.0003872915048739741,0.0847958001645104,0.0001739296864006908,11
40.0,0.09820678417497844,0.0003540804527730247,0.09383727908180321,0.0005700478506259125,0.09399776458786095,0.00015211197594417356,10
